ticker,date,close,return_1d,return_5d,return_20d,volume_change,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,bb_position,label
COIN,2024-05-23,218.86000061035156,-0.054641243128321415,0.09886028328776852,-0.021242341518870833,0.05536339926346301,50.63638448246158,-0.15622876128659868,-2.108216595280743,1.9519878339941443,238.4882157750086,193.0137831263586,0.2107727554654715,0.5683681132140582,1
COIN,2024-05-24,237.64999389648438,0.08585393965883092,0.1447494552480164,0.005627905090748175,0.08706765800833671,58.80633403199292,1.4691235396142872,-1.3927485683017369,2.861872107916024,238.81430958323463,192.8206879753591,0.21311349574535818,0.9746852792616163,0
COIN,2024-05-28,245.0,0.03092786152865279,0.08797014673752335,0.12302895071206987,0.05794598602817791,61.49117426710162,3.3121308316020475,-0.45177268832097994,3.7639035199230273,243.60572999490105,190.71326719748177,0.243565043847209,1.0263604667160058,0
COIN,2024-05-29,236.64999389648438,-0.03408165756536985,0.04814418981290314,0.1604472240271353,-0.37268862225747246,56.9500257477612,4.052239979954749,0.4490298453341658,3.603210134620583,245.8373556603027,191.75364165415044,0.24718842178230496,0.8301270182226533,1
COIN,2024-05-30,234.75999450683594,-0.007986475547830163,0.014038270818169885,0.11742585843672537,0.3700088209350192,55.94295979465958,4.435149019746831,1.2462536802166988,3.188895339530132,247.6434248486221,192.41457228272554,0.25100715326580897,0.7667264528732652,1
COIN,2024-05-31,225.9199981689453,-0.03765546321663937,0.03225805327106368,-0.012803180495634225,0.08630939605957844,51.3675698487605,3.9794210778747185,1.792887159748303,2.1865339181264156,247.33047006206505,192.4345262758256,0.24966036061706243,0.6099808033815677,1
COIN,2024-06-03,231.38999938964844,0.02421211608107665,-0.02634123571474889,0.036461363447473305,-0.275607274451502,53.88108647655081,4.013373117343008,2.2369843512672443,1.7763887660757636,248.18546106546012,192.39353521139537,0.25326638957162473,0.6989625036471466,1
COIN,2024-06-04,244.1999969482422,0.05536106829328613,-0.003265318578603349,0.07610278425000816,0.48017891478365216,59.199342706905696,5.016117419408602,2.7928109648955157,2.223306454513086,250.9208039373514,191.38519276675018,0.26920553469425357,0.8871128244597923,0
COIN,2024-06-05,251.39999389648438,0.0294840173555293,0.062328334588725776,0.17290285617142342,-0.13550390167951876,61.861431441133455,6.318938296733933,3.4980364312631993,2.8209018654707334,255.479055099194,190.53294136076693,0.29123034471678105,0.9371931441635107,1
COIN,2024-06-06,257.0799865722656,0.022593447946223977,0.09507579054224147,0.21723480249512983,0.011839931795172287,63.864472770310186,7.720761040321975,4.342581353074955,3.3781796872470196,260.6189313525881,189.98106406977521,0.31352804261172496,0.9499001751262732,0
COIN,2024-06-07,244.16000366210938,-0.05025666557098729,0.08073656887835123,0.16018059968020704,-0.018884418511574963,56.584617387303766,7.700415424484504,5.014148167356865,2.686267257127639,262.53720293934515,191.43379315440484,0.3132508922233291,0.7415426442582778,1
COIN,2024-06-10,249.80999755859375,0.023140538219778906,0.07960585253266284,0.2433306780569391,-0.3198394039912832,58.79652985858403,8.047432869066625,5.620805107698818,2.426627761367808,264.14894041376596,194.71105561894888,0.3026539048737055,0.7934997170846644,0
COIN,2024-06-11,244.1999969482422,-0.022457070033939375,0.0,0.22399881545721256,0.4191038368661122,55.758878361746085,7.780082580445452,6.052660602248144,1.7274219781973077,263.94210976402644,199.38688651282905,0.2786582483286816,0.6941825646088511,0
COIN,2024-06-12,254.9600067138672,0.04406228460316308,0.014160751407371386,0.2556513316026763,0.23838599535106164,60.02478636548159,8.340306551228622,6.51018979204424,1.8301167591843814,265.16875700155776,203.35123964150864,0.2638842218175106,0.8348566761710784,0
COIN,2024-06-13,247.63999938964844,-0.028710413913793698,-0.03672003919279654,0.12609701816996943,-0.22169434291000212,56.064242322656014,8.100250028956083,6.828201839426609,1.2720481895294737,266.33190840291167,204.96108781290866,0.2604359542058602,0.695426770677594,0
COIN,2024-06-14,244.5,-0.012679693899965705,0.0013925144691639968,0.22759452853237283,-0.17535944243151558,54.405904557893194,7.5693767336542805,6.976436818272144,0.5929399153821366,263.53240867904196,212.29358771988382,0.21536789224185324,0.6285549057771553,0
COIN,2024-06-17,245.10000610351562,0.002454012693315466,-0.01885429526884075,0.18063583283952966,-0.06766948856083399,54.68175324504281,7.115053393927269,7.00416013340317,0.11089326052409909,261.21177009734595,218.36422630157983,0.17868927601674306,0.6239746186939572,0
COIN,2024-06-18,235.9499969482422,-0.03733173776996568,-0.033783784205978384,0.04778184817345821,-0.06963934623062029,49.73961095432541,5.948103569573163,6.792948820637169,-0.8448452510640054,260.72200068304534,219.92999516656403,0.1697361328725021,0.3927240541092189,0
COIN,2024-06-20,235.02999877929688,-0.0038991234619389914,-0.07816915363097343,0.04096908517145481,0.11131007114165414,49.257556834103475,4.8926518182736345,6.412889420164462,-1.5202376018908277,260.1909871913117,221.38600865829767,0.16115794096249714,0.3516041146470764,0
COIN,2024-06-21,225.86000061035156,-0.03901628820394254,-0.08795024565085385,-0.024404967519955356,0.645458636357038,44.61612252050605,3.278464389182659,5.786004413968102,-2.5075400247854427,260.62847629276405,220.38352016719688,0.1673345214745268,0.1360786784328369,0
COIN,2024-06-24,212.30999755859375,-0.05999292931524414,-0.13165645170309304,-0.029927821591388626,-0.050584893342978665,38.79845845891068,0.8955142866015251,4.807906388494787,-3.9123921018932615,261.93147585299204,218.42552030179314,0.18114009330335637,-0.14056748474361153,1
COIN,2024-06-25,221.7100067138672,0.044274924701457774,-0.09543043168987064,-0.0670733750978354,-0.25530570525924545,44.231230067708005,-0.23181642282457915,3.7999618262309136,-4.031778249055493,262.6404523096258,216.12254512689765,0.19432540706697243,0.12011420816979775,1
COIN,2024-06-26,214.5800018310547,-0.03215914783681495,-0.09057001650173879,-0.12416325783242987,-0.17961419444999005,41.24080801763056,-1.6811862693192268,2.7037322071208854,-4.384918476440112,263.4356831515821,212.28531446804678,0.21504356099258629,0.04486159967301547,1
COIN,2024-06-27,224.0,0.043899702155664855,-0.04693017417599743,-0.053454444211892715,-0.14200976440706325,46.39709922014382,-2.0461207820778498,1.7537616092811383,-3.799882391358988,263.54419282825063,210.91180540172988,0.22186414598138787,0.24867187749258657,0
COIN,2024-06-28,222.22999572753906,-0.007901804787772027,-0.016071924524054593,-0.053373654253225045,0.9401723037651564,45.58759982572689,-2.449917441648296,0.9130257990952515,-3.3629432407435473,263.7485597332916,209.45443861875916,0.22947496657296754,0.23530277029128271,0
COIN,2024-07-01,233.3699951171875,0.05012824372865676,0.09919456361343304,0.03297626154666933,-0.2928395873877331,51.34170886590109,-1.849702138813882,0.36048021151342485,-2.210182350327307,263.70520212813193,210.24279591874307,0.22560452382837687,0.43258807147335093,0
COIN,2024-07-02,227.50999450683594,-0.025110342944511532,0.026160243639584913,-0.016768247949552784,-0.4306054420010853,48.4398255088611,-1.8258331936717695,-0.07678246952361406,-1.7490507241481554,263.7371983837833,209.82279917481046,0.2276982831612673,0.3280606960576468,0
COIN,2024-07-03,224.94000244140625,-0.011296172157186146,0.04828036406910052,-0.07886975736088175,-0.2644202405264352,47.180350372571304,-1.9913388493505977,-0.4596937454890108,-1.5316451038615868,263.03294705270457,208.60105105520557,0.23082261336488702,0.3001723729585207,0
COIN,2024-07-05,223.67999267578125,-0.005601537085219932,-0.0014286041259765625,-0.11026253736552205,2.130610482154425,46.5414200921941,-2.198828801919774,-0.8075207567751634,-1.3913080451446105,261.1238698848908,207.738128100949,0.22772475488855498,0.2986165227290612,0
COIN,2024-07-08,220.55999755859375,-0.013948476481353667,-0.007514728889221556,-0.14205691193859638,-0.44669655614130166,44.919274867014394,-2.5852227763645033,-1.1630611606930317,-1.4221616156714716,257.7243441771128,207.48565490735984,0.21598284374206086,0.26024450162368246,1
COIN,2024-07-09,219.97000122070312,-0.002674992493749362,-0.05741952340426426,-0.09907438597061358,-0.04813719903120106,44.602689212845256,-2.905557104933621,-1.5115603495411496,-1.3939967553924713,256.5017127722267,206.28928606810527,0.21699828574861837,0.272456761215943,1
COIN,2024-07-10,219.55999755859375,-0.0018639071684052322,-0.03494350639616983,-0.12109203112619527,-0.16146232857490317,44.36866651910954,-3.15612637694457,-1.8404735550218339,-1.3156528219227364,253.94109356002622,205.8249052803058,0.20930729284498586,0.2854567822047717,1
COIN,2024-07-11,214.6300048828125,-0.022453965797961883,-0.045834433389762896,-0.12108924011042066,0.5702938485909994,41.545940379995734,-3.7097498504975874,-2.2143288141169846,-1.4954210363806029,252.39230240773512,204.41669722605397,0.21004667254866624,0.21288543663141424,1
