ticker,date,return_1d,return_5d,return_20d,volume_change,rsi_14,macd,macd_signal,macd_hist,bb_width,bb_position,label,sentiment_score,article_count,vix,has_news
COIN,2024-05-23,-0.0546412431283214,0.0988602832877685,-0.0212423415188708,0.055363399263463,50.63638448246158,-0.1562287612865986,-2.108216595280743,1.9519878339941443,0.2107727554654715,0.5683681132140582,1,0.08058580302005937,27.0,12.770000457763672,1
COIN,2024-05-24,0.0858539396588309,0.1447494552480164,0.0056279050907481,0.0870676580083367,58.80633403199292,1.4691235396142872,-1.3927485683017369,2.861872107916024,0.2131134957453581,0.9746852792616164,0,1.4729956846911192,5.0,11.930000305175781,1
COIN,2024-05-28,0.0309278615286527,0.0879701467375233,0.1230289507120698,0.0579459860281779,61.49117426710162,3.3121308316020475,-0.4517726883209799,3.7639035199230273,0.243565043847209,1.0263604667160058,0,0.17500901371599556,5.0,12.920000076293945,1
COIN,2024-05-29,-0.0340816575653698,0.0481441898129031,0.1604472240271353,-0.3726886222574724,56.9500257477612,4.052239979954749,0.4490298453341658,3.603210134620583,0.2471884217823049,0.8301270182226533,1,0.19628748373198127,3.0,14.279999732971191,1
COIN,2024-05-30,-0.0079864755478301,0.0140382708181698,0.1174258584367253,0.3700088209350192,55.94295979465958,4.435149019746831,1.2462536802166988,3.188895339530132,0.2510071532658089,0.7667264528732652,1,0.0,0.0,14.470000267028809,0
COIN,2024-05-31,-0.0376554632166393,0.0322580532710636,-0.0128031804956342,0.0863093960595784,51.3675698487605,3.979421077874719,1.792887159748303,2.186533918126416,0.2496603606170624,0.6099808033815677,1,0.29204059880391664,3.0,12.920000076293945,1
COIN,2024-06-03,0.0242121160810766,-0.0263412357147488,0.0364613634474733,-0.275607274451502,53.88108647655081,4.013373117343008,2.2369843512672443,1.7763887660757636,0.2532663895716247,0.6989625036471466,1,-0.5856962893554907,3.0,13.109999656677246,1
COIN,2024-06-04,0.0553610682932861,-0.0032653185786033,0.0761027842500081,0.4801789147836521,59.199342706905696,5.016117419408602,2.792810964895516,2.223306454513086,0.2692055346942535,0.8871128244597923,0,0.29204059880391664,1.0,13.15999984741211,1
COIN,2024-06-05,0.0294840173555293,0.0623283345887257,0.1729028561714234,-0.1355039016795187,61.861431441133455,6.318938296733933,3.4980364312631997,2.8209018654707334,0.291230344716781,0.9371931441635108,1,0.962312404307464,2.0,12.630000114440918,1
COIN,2024-06-06,0.0225934479462239,0.0950757905422414,0.2172348024951298,0.0118399317951722,63.864472770310186,7.720761040321975,4.342581353074955,3.37817968724702,0.3135280426117249,0.9499001751262732,0,-0.34631350167565234,2.0,12.579999923706055,1
COIN,2024-06-07,-0.0502566655709872,0.0807365688783512,0.160180599680207,-0.0188844185115749,56.584617387303766,7.700415424484504,5.014148167356865,2.686267257127639,0.3132508922233291,0.7415426442582778,1,0.00478125358811054,3.0,12.220000267028809,1
COIN,2024-06-10,0.0231405382197789,0.0796058525326628,0.2433306780569391,-0.3198394039912832,58.79652985858403,8.047432869066625,5.620805107698818,2.426627761367808,0.3026539048737055,0.7934997170846644,0,0.6431353540676795,3.0,12.739999771118164,1
COIN,2024-06-11,-0.0224570700339393,0.0,0.2239988154572125,0.4191038368661122,55.758878361746085,7.780082580445452,6.052660602248144,1.7274219781973077,0.2786582483286816,0.6941825646088511,0,-1.3038446523950058,6.0,12.850000381469727,1
COIN,2024-06-12,0.044062284603163,0.0141607514073713,0.2556513316026763,0.2383859953510616,60.02478636548159,8.340306551228622,6.51018979204424,1.8301167591843812,0.2638842218175106,0.8348566761710784,0,0.29204059880391664,3.0,12.039999961853027,1
COIN,2024-06-13,-0.0287104139137936,-0.0367200391927965,0.1260970181699694,-0.2216943429100021,56.064242322656014,8.100250028956083,6.828201839426609,1.2720481895294735,0.2604359542058602,0.695426770677594,0,-0.537819731819523,1.0,11.9399995803833,1
